Script,Software,Description,Packages,Input,Output,Figures
TBMIBIrunFlowSOMv2.R,R 3.6.2,Iteratively runs FlowSOM on TB single cell data,"flowCore, ggplot2, gplots, RColorBrewer, reshape2, FlowSOM, plyr, dplyr, viridis",allsamples_dataCS3px_annotated.csv,granA_cellpheno_CS-asinh-norm.csv,"Fig. 1, Extended Data Fig. 2"
TBMIBIcellFreq.R,R 3.6.2,Quantifies lineage and immune cell frequency across FOVs. Plots various visualizations of cell stats.,"dplyr, viridis, ggplot2, forcats, reshape2, tidyr",granA_cellpheno_CS-asinh-norm_revised.csv,"immlineage_freqs.csv, total_freqs.csv, lineage_freqs.csv, immune_cell_freqs.csv, lineage_cell_totals.csv, immune_cell_totals.csv","Fig. 1, Extended Data Fig. 2, Extended Data Fig. 5"
TBMIBIcellFreqCorrelation.R,R 3.6.2,Runs correlation analysis based on immune cell frequency in TB FOVs.,"factoextra, data.table, ggplot2, PerformanceAnalytics, psych, Hmisc, corrplot, gplots, colorspace",immune_cell_freqs.csv,NA,"Fig. 1, Fig. 2, Extended Data Fig. 2"
TBMIBIdetermineMarkerCutoff.R,R 3.6.2,Uses the MetaCyto silhouette scanning approach to determine marker positivity thresholds from normalized expression data.,"Hmisc, MetaCyto, tidyr, plyr, ggplot2",granA_cellpheno_CS-asinh-norm.csv,markerThresholds.csv,Extended Data Fig. 1
TBMIBIcellCountChiSquare.R,R 3.6.2,Runs a chi-square analysis in TB FOVs between all cell types.,"reshape2, dplyr, tidyverse, broom, gplots, RColorBrewer","immune_cell_freqs.csv, lineage_freqs.csv",NA,Extended Data Fig. 2
TBMIBICD4CD8ratio.R,R 3.6.2,Calculates the CD4:CD8 ratio for all sarcoid and TB FOVs. For the TB FOVs it analyses differences based on cluster.,"ggplot2, dplyr, forcats, tidyverse, reshape2, ggpubr, ggsignif, ggpmisc",immune_cell_freqs.csv,CD4CD8ratio.csv,"Fig. 1, Fig. 5"
TBMIBIheatmap.R,R 3.6.2,Visualizes the mean expression of all clustering markers across all cell susbets in TB and sarcoid,"dplyr, gplots, viridis",granA_cellpheno_CS-asinh-norm_revised.csv,NA,Fig. 1
TBMIBInetworkVis.R,R 3.6.2,"Visualizes positive protein interactions as an undirected , weighted network with community detection",igraph,pooledTB.csv,NA,Fig. 2
MIBIQuantifySpatialOrganizationMarkerExpression.m,MATLAB 2019b,"Runs spatial enrichment analysis from Keren et al, Cell 2018 ",NA,"granA_cellpheno_CS-asinh-norm_matlab_revised.csv, markerThresholds.csv, cellDistances.mat (from MIBICreateDistanceMatrixBetweenCells.m)",spatialAnalysis.mat (contains z-scores and p-values for interactions),Extended Data Fig. 3
MIBICreateDistanceMatrixBetweenCells.m,MATLAB 2019b,"For each FOV, creates a cell x cell matrix with pairwise centroid distances",NA,Segmentation mask with objects labeled,cellDistances.mat,Extended Data Fig. 3
